LIB,VER,Z,SYM,A,M,MF,MT,LIBORIG,VERORIG
JEFF,3.2,74,W,186,g,3,105,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,57,JEFF,3.2
JEFF,3.2,74,W,183,g,6,106,JEFF,3.2
JEFF,3.2,74,W,186,g,3,104,JEFF,3.2
JEFF,3.2,72,Hf,181,g,4,76,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,182,g,12,54,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,58,JEFF,3.2
JEFF,3.2,72,Hf,181,g,4,77,JEFF,3.2
JEFF,3.2,74,W,183,g,6,107,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,183,g,12,16,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,2,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,3,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,59,JEFF,3.2
JEFF,3.2,74,W,182,g,12,55,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,72,Hf,181,g,4,78,JEFF,3.2
JEFF,3.2,74,W,183,g,12,17,JEFF,3.2
JEFF,3.2,74,W,184,g,12,51,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,61,JEFF,3.2
JEFF,3.2,74,W,182,g,12,56,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,4,JEFF,3.2
JEFF,3.2,72,Hf,181,g,4,79,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,5,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,11,JEFF,3.2
JEFF,3.2,74,W,184,g,12,52,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,62,JEFF,3.2
JEFF,3.2,74,W,186,g,3,107,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,182,g,12,57,JEFF,3.2
JEFF,3.2,74,W,183,g,12,24,JEFF,3.2
JEFF,3.2,74,W,184,g,12,53,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,63,JEFF,3.2
JEFF,3.2,74,W,182,g,12,58,JEFF,3.2
JEFF,3.2,74,W,183,g,12,22,JEFF,3.2
JEFF,3.2,74,W,183,g,12,28,JEFF,3.2
JEFF,3.2,74,W,186,g,4,2,JEFF,3.2
JEFF,3.2,74,W,182,g,12,59,JEFF,3.2
JEFF,3.2,74,W,186,g,4,51,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,64,JEFF,3.2
JEFF,3.2,74,W,184,g,12,54,JEFF,3.2
JEFF,3.2,74,W,183,g,12,41,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,16,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,5,JEFF,3.2
JEFF,3.2,74,W,182,g,12,61,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,65,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,17,JEFF,3.2
JEFF,3.2,74,W,184,g,12,55,JEFF,3.2
JEFF,3.2,74,W,186,g,4,52,JEFF,3.2
JEFF,3.2,74,W,182,g,12,62,JEFF,3.2
JEFF,3.2,74,W,186,g,4,53,JEFF,3.2
JEFF,3.2,74,W,184,g,12,56,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,22,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,66,JEFF,3.2
JEFF,3.2,74,W,182,g,12,63,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,184,g,12,57,JEFF,3.2
