Z,A,M,HL,DHL,ELP,DELP,EEM,DEEM,EHP,DEHP
58,155,g,0.2,0.0,2460000.0,0.0,2460000.0,0.0,0.0,0.0
58,156,g,0.15,0.0,2170000.0,0.0,2170000.0,0.0,0.0,0.0
58,157,g,0.05,0.0,2766670.0,0.0,2766670.0,0.0,0.0,0.0
59,121,g,0.6,0.3,1853330.0,0.0,1853330.0,0.0,420501.0,0.0
59,122,g,0.5,0.0,4316670.0,0.0,4316670.0,0.0,0.0,0.0
59,123,g,0.8,0.0,3280000.0,0.0,3280000.0,0.0,0.0,0.0
59,124,g,1.2,0.2,3896670.0,0.0,3896670.0,0.0,0.0,0.0
59,125,g,3.3,0.7,2916670.0,0.0,2916670.0,0.0,0.0,0.0
59,126,g,3.12,0.18,3520330.0,0.0,3520330.0,0.0,0.0,0.0
59,127,g,4.2,0.3,2516670.0,0.0,2516670.0,0.0,0.0,0.0
59,127,m,0.05,0.0,1358330.0,0.0,1658330.0,0.0,0.0,0.0
59,128,g,2.85,0.09,3453740.0,156242.0,1566780.0,0.0,0.0,0.0
59,129,g,30.0,4.0,2171000.0,0.0,2171000.0,0.0,0.0,0.0
59,129,m,0.001,0.0,0.0,0.0,382700.0,0.0,0.0,0.0
59,130,g,40.0,0.4,2747670.0,0.0,2747670.0,0.0,0.0,0.0
59,130,m,10.0,0.0,2781000.0,0.0,2781000.0,0.0,0.0,0.0
59,131,g,90.0,1.8,1803030.0,0.0,1803030.0,0.0,0.0,0.0
59,131,m,5.7,0.2,67108.7,0.0,214022.0,0.0,0.0,0.0
59,132,g,89.4,6.6,2421330.0,0.0,2421330.0,0.0,0.0,0.0
59,132,m,20.0,0.0,2031200.0,0.0,2031200.0,0.0,0.0,0.0
59,133,g,390.0,18.0,1495000.0,0.0,1495000.0,0.0,0.0,0.0
59,134,g,660.0,0.0,985201.0,9028.31,2812740.0,0.0,0.0,0.0
59,134,m,1020.0,120.0,2108670.0,0.0,2108670.0,0.0,0.0,0.0
59,135,g,1440.0,120.0,1229670.0,0.0,1229670.0,0.0,0.0,0.0
59,136,g,786.0,6.0,753522.0,41649.8,2065220.0,0.0,0.0,0.0
59,137,g,4608.0,72.0,192722.0,3220.73,363913.0,0.0,0.0,0.0
59,138,g,87.0,3.0,1161040.0,7215.36,815000.0,0.0,0.0,0.0
59,138,m,7632.0,144.0,222668.0,15236.1,2442600.0,0.0,0.0,0.0
59,139,g,15876.0,144.0,46206.4,1141.46,129421.0,0.0,0.0,0.0
59,140,g,203.4,0.6,548701.0,3542.32,544427.0,0.0,0.0,0.0
59,141,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,142,g,68832.0,144.0,810103.0,4317.04,58105.1,0.0,0.0,0.0
59,142,m,876.0,30.0,0.0,0.0,3694.0,0.0,0.0,0.0
59,143,g,1171580.0,864.0,314599.0,471.613,0.00890376,0.0,0.0,0.0
59,144,g,1037.4,2.4,1206000.0,1084.01,30262.2,0.0,0.0,0.0
59,144,m,432.0,12.0,44817.4,1352.95,13297.4,0.0,0.0,0.0
59,145,g,21542.4,36.0,601700.0,0.0,601700.0,0.0,0.0,0.0
59,146,g,1449.0,10.8,1316860.0,70890.5,987414.0,0.0,0.0,0.0
59,147,g,804.0,24.0,668500.0,6685.0,928500.0,0.0,0.0,0.0
59,148,g,137.4,1.2,1347900.0,134790.0,1776400.0,0.0,0.0,0.0
59,148,m,121.2,5.4,1239200.0,12392.0,2049600.0,0.0,0.0,0.0
59,149,g,135.6,4.2,810700.0,8107.0,1332000.0,0.0,0.0,0.0
59,150,g,6.1,0.4,2230230.0,157756.0,554199.0,0.0,0.0,0.0
59,151,g,18.9,0.07,1114300.0,11143.0,1362500.0,0.0,0.0,0.0
59,152,g,3.63,0.12,2115740.0,83763.9,1685480.0,0.0,0.0,0.0
59,153,g,4.28,0.11,1906340.0,0.0,1906340.0,0.0,0.0,0.0
59,154,g,2.3,0.1,2496670.0,0.0,2496670.0,0.0,0.0,0.0
59,155,g,1.0,0.0,2230000.0,0.0,2230000.0,0.0,0.0,0.0
59,156,g,0.5,0.1,2149000.0,214900.0,2688000.0,893.0,8930.2,893.0
59,157,g,0.3,0.06,2387000.0,238700.0,1881000.0,2372.1,23721.0,2372.1
59,158,g,0.2,0.0,3223330.0,0.0,3223330.0,0.0,0.0,0.0
59,159,g,0.1,0.0,2923330.0,0.0,2923330.0,0.0,0.0,0.0
60,124,g,0.5,0.0,2876670.0,0.0,2876670.0,0.0,0.0,0.0
60,125,g,0.6,0.15,3430000.0,0.0,3430000.0,0.0,0.0,0.0
60,126,g,1.0,0.0,2456670.0,0.0,2456670.0,0.0,0.0,0.0
60,127,g,1.8,0.4,3003330.0,0.0,3003330.0,0.0,0.0,0.0
60,128,g,5.0,0.0,2050330.0,0.0,2050330.0,0.0,0.0,0.0
60,129,g,4.9,0.2,2511330.0,0.0,2511330.0,0.0,0.0,0.0
60,130,g,21.0,3.0,1494670.0,0.0,1494670.0,0.0,0.0,0.0
60,131,g,33.0,3.0,2170330.0,0.0,2170330.0,0.0,0.0,0.0
60,132,g,94.0,8.0,523566.0,18459.9,959827.0,0.0,0.0,0.0
60,133,g,70.0,10.0,1869330.0,0.0,1869330.0,0.0,0.0,0.0
60,133,m,70.0,0.0,1911990.0,0.0,1911990.0,0.0,0.0,0.0
60,134,g,510.0,90.0,158953.0,1342.14,538890.0,0.0,0.0,0.0
60,135,g,744.0,36.0,1574000.0,0.0,1574000.0,0.0,0.0,0.0
60,135,m,330.0,30.0,1595190.0,0.0,1595210.0,0.0,0.0,0.0
60,136,g,3039.0,19.8,60932.4,3434.47,280415.0,0.0,0.0,0.0
60,137,g,2310.0,90.0,1199000.0,0.0,1199000.0,0.0,0.0,0.0
60,137,m,1.6,0.15,0.0,0.0,519430.0,0.0,0.0,0.0
60,138,g,18144.0,324.0,371333.0,0.0,371333.0,0.0,0.0,0.0
60,139,g,1782.0,30.0,207453.0,28229.6,421094.0,0.0,0.0,0.0
60,139,m,19800.0,720.0,900272.0,0.0,927548.0,0.0,0.0,0.0
60,140,g,291168.0,1728.0,6734.67,673.467,27727.2,0.0,0.0,0.0
60,141,g,8952.0,102.0,16291.0,671.24,77791.2,0.0,0.0,0.0
